date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:05	40285/40285	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2003:59:59%20GMT	https://laravel.com/docs/5.8	B:/doc5..release/laravel.com/docs/5.html	(from )
06:12:05	24/24	------	200	untouched ('OK')	text/plain	etag:%2256eb5bc8-18%22	https://laravel.com/robots.txt		(from )
06:12:05	156/156	------	302	error ('Moved%20Temporarily')	text/html	etag:%2226af4a8ff28b7ef7e2c103a7d69bd40d:1516117673%22	https://cloud.typography.com/7737514/7707592/css/fonts.css	B:/doc5..release/cloud.typography.com/7737514/7707592/css/fonts.3.delayed	(from https://laravel.com/docs/5.8)
06:12:05	40571/40571	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:02%20GMT	https://laravel.com/docs/5.8/installation	B:/doc5..release/laravel.com/docs/5.8/installation.html	(from https://laravel.com/docs/5.8)
06:12:06	75313/75313	------	200	untouched ('OK')	text/css	etag:W/%225c339789-12631%22	https://laravel.com/assets/css/laravel.css?id=561f882931bf31d146e8	B:/doc5..release/laravel.com/assets/css/laraveldf84.css	(from https://laravel.com/docs/5.8)
06:12:06	12312/12312	------	200	untouched ('OK')	text/css	etag:W/%225afd4938-3018%22	http://cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	B:/doc5..release/cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	(from https://laravel.com/docs/5.8)
06:12:06	272912/272912	------	200	untouched ('OK')	text/css	etag:W/%225a5e1e45-42a10%22	https://laravel.com/fonts/632887/FFE2ABC2B78114E8E.css	B:/doc5..release/laravel.com/fonts/632887/FFE2ABC2B78114E8E.css	(from https://laravel.com/docs/5.8)
06:12:06	1035/1035	------	200	untouched ('')	image/png	etag:%22587d143c-40b%22	https://laravel.com/favicon.png	B:/doc5..release/laravel.com/favicon.png	(from https://laravel.com/docs/5.8)
06:12:06	40777/40777	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:06%20GMT	https://laravel.com/docs/master	B:/doc5..release/laravel.com/docs/master.html	(from https://laravel.com/docs/5.8)
06:12:07	40192/40192	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:09%20GMT	https://laravel.com/docs/5.7	B:/doc5..release/laravel.com/docs/5-2.html	(from https://laravel.com/docs/5.8)
06:12:07	39654/39654	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:10%20GMT	https://laravel.com/docs/5.6	B:/doc5..release/laravel.com/docs/5-3.html	(from https://laravel.com/docs/5.8)
