date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:00:22	40285/40285	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2003:59:59%20GMT	https://laravel.com/docs/5.8	B:/doc5..release/laravel.com/docs/5.html	(from )
06:00:24	24/24	---M--	200	added ('OK')	text/plain	etag:%2256eb5bc8-18%22	https://laravel.com/robots.txt		(from )
06:00:24	40571/40571	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:02%20GMT	https://laravel.com/docs/5.8/installation	B:/doc5..release/laravel.com/docs/5.8/installation.html	(from https://laravel.com/docs/5.8)
06:00:26	12312/12312	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4938-3018%22	http://cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	B:/doc5..release/cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	(from https://laravel.com/docs/5.8)
06:00:26	75313/75313	---MCZ	200	added ('OK')	text/css	etag:W/%225c339789-12631%22	https://laravel.com/assets/css/laravel.css?id=561f882931bf31d146e8	B:/doc5..release/laravel.com/assets/css/laraveldf84.css	(from https://laravel.com/docs/5.8)
06:00:27	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%2226af4a8ff28b7ef7e2c103a7d69bd40d:1516117673%22	https://cloud.typography.com/7737514/7707592/css/fonts.css	B:/doc5..release/cloud.typography.com/7737514/7707592/css/fonts.4.delayed	(from https://laravel.com/docs/5.8)
06:00:28	1035/1035	---M--	200	added ('OK')	image/png	etag:%22587d143c-40b%22	https://laravel.com/favicon.png	B:/doc5..release/laravel.com/favicon.png	(from https://laravel.com/docs/5.8)
06:00:30	40777/40777	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:06%20GMT	https://laravel.com/docs/master	B:/doc5..release/laravel.com/docs/master.html	(from https://laravel.com/docs/5.8)
06:00:32	40192/40192	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:09%20GMT	https://laravel.com/docs/5.7	B:/doc5..release/laravel.com/docs/5-2.html	(from https://laravel.com/docs/5.8)
06:00:32	272912/272912	---MCZ	200	added ('OK')	text/css	etag:W/%225a5e1e45-42a10%22	https://laravel.com/fonts/632887/FFE2ABC2B78114E8E.css	B:/doc5..release/laravel.com/fonts/632887/FFE2ABC2B78114E8E.css	(from https://laravel.com/docs/5.8)
06:00:33	39654/39654	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:10%20GMT	https://laravel.com/docs/5.6	B:/doc5..release/laravel.com/docs/5-3.html	(from https://laravel.com/docs/5.8)
06:00:34	39528/39528	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:11%20GMT	https://laravel.com/docs/5.5	B:/doc5..release/laravel.com/docs/5-4.html	(from https://laravel.com/docs/5.8)
06:00:36	38858/38858	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:12%20GMT	https://laravel.com/docs/5.4	B:/doc5..release/laravel.com/docs/5-5.html	(from https://laravel.com/docs/5.8)
06:00:37	38920/38920	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:14%20GMT	https://laravel.com/docs/5.3	B:/doc5..release/laravel.com/docs/5-6.html	(from https://laravel.com/docs/5.8)
06:00:37	35321/35321	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:14%20GMT	https://laravel.com/docs/5.2	B:/doc5..release/laravel.com/docs/5-7.html	(from https://laravel.com/docs/5.8)
06:00:38	41947/41947	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:15%20GMT	https://laravel.com/docs/5.1	B:/doc5..release/laravel.com/docs/5-8.html	(from https://laravel.com/docs/5.8)
06:00:39	34613/34613	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:16%20GMT	https://laravel.com/docs/5.0	B:/doc5..release/laravel.com/docs/5-9.html	(from https://laravel.com/docs/5.8)
06:00:39	34405/34405	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:16%20GMT	https://laravel.com/docs/4.2	B:/doc5..release/laravel.com/docs/4.html	(from https://laravel.com/docs/5.8)
06:00:40	2618/2618	---M--	200	added ('OK')	image/png	etag:%2259679654-a3a%22	https://laravel.com/assets/img/laravel-logo-white.png	B:/doc5..release/laravel.com/assets/img/laravel-logo-white.png	(from https://laravel.com/docs/5.8)
06:00:41	47721/47721	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:18%20GMT	https://laravel.com/docs/5.8/releases	B:/doc5..release/laravel.com/docs/5.8/releases.html	(from https://laravel.com/docs/5.8)
06:00:42	68573/68573	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:19%20GMT	https://laravel.com/docs/5.8/upgrade	B:/doc5..release/laravel.com/docs/5.8/upgrade.html	(from https://laravel.com/docs/5.8)
06:00:42	40282/40282	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:19%20GMT	https://laravel.com/docs/5.8/contributions	B:/doc5..release/laravel.com/docs/5.8/contributions.html	(from https://laravel.com/docs/5.8)
06:00:43	44120/44120	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:20%20GMT	https://laravel.com/docs/5.8/configuration	B:/doc5..release/laravel.com/docs/5.8/configuration.html	(from https://laravel.com/docs/5.8)
06:00:43	48920/48920	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:21%20GMT	https://laravel.com/docs/5.8/structure	B:/doc5..release/laravel.com/docs/5.8/structure.html	(from https://laravel.com/docs/5.8)
06:00:44	73544/73544	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:21%20GMT	https://laravel.com/docs/5.8/homestead	B:/doc5..release/laravel.com/docs/5.8/homestead.html	(from https://laravel.com/docs/5.8)
06:00:45	51755/51755	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:22%20GMT	https://laravel.com/docs/5.8/valet	B:/doc5..release/laravel.com/docs/5.8/valet.html	(from https://laravel.com/docs/5.8)
06:00:45	38702/38702	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:22%20GMT	https://laravel.com/docs/5.8/deployment	B:/doc5..release/laravel.com/docs/5.8/deployment.html	(from https://laravel.com/docs/5.8)
06:00:46	38680/38680	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:23%20GMT	https://laravel.com/docs/5.8/lifecycle	B:/doc5..release/laravel.com/docs/5.8/lifecycle.html	(from https://laravel.com/docs/5.8)
06:00:47	45930/45930	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:24%20GMT	https://laravel.com/docs/5.8/container	B:/doc5..release/laravel.com/docs/5.8/container.html	(from https://laravel.com/docs/5.8)
